FagNivaa	EnhetNivaa	Vurderingsfagkode	Nasjonaltkode	Fylkekode	Organisasjonsnummer	Vurderingsfagnavn	Nasjonalt	Fylke	EnhetNavn	2024-25.Muntlig eksamen.Alle eierformer.Alle kjønn.Snittkarakter	2024-25.Muntlig eksamen.Alle eierformer.Alle kjønn.Antall elever	2024-25.Skriftlig eksamen.Alle eierformer.Alle kjønn.Snittkarakter	2024-25.Skriftlig eksamen.Alle eierformer.Alle kjønn.Antall elever	2024-25.Standpunkt.Alle eierformer.Alle kjønn.Snittkarakter	2024-25.Standpunkt.Alle eierformer.Alle kjønn.Antall elever
2	3	NOR1269	I	3	973480634	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Den Tysk-Norske skolen i Oslo avd grunnskole Sporveisgata					*	*
2	3	NOR1269	I	3	912001709	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Edvard Munch videregående skole	5,0	79			4,9	346
2	3	NOR1269	I	3	873626372	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Eikelund videregående skole	*	*			4,4	14
2	3	NOR1269	I	3	974590999	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Elvebakken videregående skole	5,2	98			5,4	377
2	3	NOR1269	I	3	974590867	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Foss videregående skole	5,1	64			5,0	302
2	3	NOR1269	I	3	995821664	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Fyrstikkalleen skole	4,8	47			4,3	187
2	3	NOR1269	I	3	974590891	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Hartvig Nissens skole	5,2	28			4,7	180
2	3	NOR1269	I	3	974590956	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Hellerud videregående skole	3,4	24			3,8	99
2	3	NOR1269	I	3	974192020	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Heltberg private gymnas	4,1	14			4,1	65
2	3	NOR1269	I	3	912001008	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Hersleb videregående skole	3,5	14			3,8	73
2	3	NOR1269	I	3	999173926	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Kongshavn videregående skole	4,6	31			4,3	142
2	3	NOR1269	I	3	873626402	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Kongsskogen videregående skole	*	*			4,8	21
2	3	NOR1269	I	3	974117797	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Kristelig gymnasium AS videregående skole	5,3	44			5,0	180
2	3	NOR1269	I	3	899178092	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Kuben videregående skole	4,3	52			4,2	173
2	3	NOR1269	I	3	974590913	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Lambertseter videregående skole	4,4	64			4,3	284
2	3	NOR1269	I	3	996216454	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Nydalen videregående skole	5,5	40			5,5	192
2	3	NOR1269	I	3	974590883	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Oslo Handelsgymnasium	4,5	49			4,6	247
2	3	NOR1269	I	3	874590932	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Oslo katedralskole	5,2	33			5,3	180
2	3	NOR1269	I	3	972286389	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Oslo private gymnasium AS	5,0	15			5,0	66
2	3	NOR1269	I	3	971816309	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Otto Treider private gymnas AS	4,1	14			4,0	71
2	3	NOR1269	I	3	974590948	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Persbråten videregående skole	4,3	47			4,0	174
2	3	NOR1269	I	3	974591065	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Stovner videregående skole	3,8	21			3,7	90
2	3	NOR1269	I	3	974590964	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Ullern videregående skole	5,4	34			5,0	273
2	3	NOR1269	I	3	974590972	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Ulsrud videregående skole	3,9	20			3,9	53
2	3	NOR1269	I	3	917527067	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Valle Hovin videregående skole	4,3	35			4,8	160
2	3	NOR1269	I	3	925607797	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Vika videregående skole	4,6	31			4,7	148
2	3	NOR1269	I	3	971816317	Norsk, vg3 studieforberedende utdanningsprogram, muntlig	Hele landet	Oslo	Wang videregående Skole/ Wang Toppidrett	4,9	32			4,8	216
2	0	NOR1270	Alle	0	Alle	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Alle fylker	Alle skoler			3,1	8 569	3,6	8 663
2	1	NOR1270	I	0	I	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Alle fylker	Alle skoler			3,1	8 569	3,6	8 663
2	2	NOR1270	I	3	03	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Alle skoler			3,0	534	3,3	556
2	3	NOR1270	I	3	887664102	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Akademiet Oslo AS			2,9	54	3,9	54
2	3	NOR1270	I	3	988938386	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Akademiet Vgs Bislett AS			3,1	17	3,7	26
2	3	NOR1270	I	3	873626372	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Eikelund videregående skole			3,9	7	3,6	17
2	3	NOR1270	I	3	974590999	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Elvebakken videregående skole			3,7	27	3,7	27
2	3	NOR1270	I	3	974591022	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Etterstad videregående skole			2,9	87	3,3	88
2	3	NOR1270	I	3	974590956	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Hellerud videregående skole			2,8	86	3,0	88
2	3	NOR1270	I	3	912001008	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Hersleb videregående skole			3,1	94	3,5	94
2	3	NOR1270	I	3	899178092	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Kuben videregående skole			3,4	28	3,4	28
2	3	NOR1270	I	3	974714426	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Natur videregående skole Sti			3,7	29	3,7	29
2	3	NOR1270	I	3	974591065	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Stovner videregående skole			2,7	65	3,1	65
2	3	NOR1270	I	3	974590972	Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Ulsrud videregående skole			2,6	40	2,7	40
2	0	NOR1271	Alle	0	Alle	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Alle fylker	Alle skoler			3,1	3 590	3,4	6 664
2	1	NOR1271	I	0	I	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Alle fylker	Alle skoler			3,1	3 590	3,4	6 664
2	2	NOR1271	I	3	03	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Alle skoler			3,0	162	3,4	271
2	3	NOR1271	I	3	887664102	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Akademiet Oslo AS			2,7	22	3,9	33
2	3	NOR1271	I	3	988938386	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Akademiet Vgs Bislett AS			2,7	11	3,5	21
2	3	NOR1271	I	3	974590999	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Elvebakken videregående skole			3,5	11	3,7	15
2	3	NOR1271	I	3	974591022	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Etterstad videregående skole			3,3	39	3,3	48
2	3	NOR1271	I	3	974590956	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Hellerud videregående skole			3,1	28	3,2	33
2	3	NOR1271	I	3	912001008	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Hersleb videregående skole			3,3	16	3,5	44
2	3	NOR1271	I	3	899178092	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Kuben videregående skole			3,1	7	3,5	15
2	3	NOR1271	I	3	974714426	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Natur videregående skole Sti					3,6	23
2	3	NOR1271	I	3	974591065	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Stovner videregående skole			2,4	16	3,2	26
2	3	NOR1271	I	3	974590972	Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig	Hele landet	Oslo	Ulsrud videregående skole			3,2	12	2,7	13
2	0	NOR1272	Alle	0	Alle	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Alle fylker	Alle skoler	4,1	2 348			4,1	8 644
2	1	NOR1272	I	0	I	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Alle fylker	Alle skoler	4,1	2 348			4,1	8 644
2	2	NOR1272	I	3	03	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Alle skoler	3,9	170			3,9	553
2	3	NOR1272	I	3	887664102	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Akademiet Oslo AS	4,7	15			4,7	54
2	3	NOR1272	I	3	988938386	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Akademiet Vgs Bislett AS	3,6	7			4,1	25
2	3	NOR1272	I	3	873626372	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Eikelund videregående skole					3,9	13
2	3	NOR1272	I	3	974590999	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Elvebakken videregående skole	*	*			4,2	27
2	3	NOR1272	I	3	974591022	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Etterstad videregående skole	4,1	33			4,0	90
2	3	NOR1272	I	3	974590956	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Hellerud videregående skole	3,9	36			3,5	88
2	3	NOR1272	I	3	912001008	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Hersleb videregående skole	3,8	37			4,0	94
2	3	NOR1272	I	3	899178092	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Kuben videregående skole	4,9	8			4,5	28
2	3	NOR1272	I	3	974714426	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Natur videregående skole Sti					3,8	29
2	3	NOR1272	I	3	974591065	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Stovner videregående skole	3,5	21			3,6	65
2	3	NOR1272	I	3	974590972	Norsk, vg3 påbygging til generell studiekompetanse, muntlig	Hele landet	Oslo	Ulsrud videregående skole	*	*			3,1	40
